"","x"
"1",-0.47
"2",-0.46
"3",-0.42
"4",-0.42
"5",-0.41
"6",-0.4
"7",-0.38
"8",-0.37
"9",-0.36
"10",-0.35
"11",-0.35
"12",-0.34
"13",-0.3
"14",-0.29
"15",-0.28
"16",-0.28
"17",-0.27
"18",-0.27
"19",-0.27
"20",-0.24
"21",-0.24
"22",-0.23
"23",-0.22
"24",-0.21
"25",-0.21
"26",-0.21
"27",-0.19
"28",-0.16
"29",-0.15
"30",-0.15
"31",-0.15
"32",-0.14
"33",-0.14
"34",-0.13
"35",-0.13
"36",-0.11
"37",-0.1
"38",-0.1
"39",-0.1
"40",-0.09
"41",-0.09
"42",-0.08
"43",-0.07
"44",-0.07
"45",-0.07
"46",-0.05
"47",-0.04
"48",-0.02
"49",-0.02
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0.01
"57",0.02
"58",0.04
"59",0.05
"60",0.07
"61",0.09
"62",0.12
"63",0.12
"64",0.13
"65",0.15
"66",0.15
"67",0.16
"68",0.17
"69",0.17
"70",0.17
"71",0.17
"72",0.18
"73",0.18
"74",0.19
"75",0.21
"76",0.21
"77",0.23
"78",0.23
"79",0.24
"80",0.24
"81",0.25
"82",0.28
"83",0.29
"84",0.29
"85",0.3
"86",0.3
"87",0.3
"88",0.3
"89",0.31
"90",0.31
"91",0.32
"92",0.33
"93",0.34
"94",0.35
"95",0.36
"96",0.38
"97",0.38
"98",0.39
"99",0.4
"100",0.4
"101",0.41
"102",0.42
"103",0.43
"104",0.43
"105",0.44
"106",0.45
"107",0.46
"108",0.48
"109",0.5
"110",0.51
"111",0.55
