"","x"
"1",-0.4199
"2",-0.3565
"3",-0.3255
"4",-0.265100000000004
"5",-0.2852
"6",-0.2828
"7",-0.2773
"8",-0.2649
"9",-0.2567
"10",-0.2497
"11",-0.2461
"12",-0.2453
"13",-0.2347
"14",-0.2315
"15",-0.2272
"16",-0.2257
"17",-0.2052
"18",-0.1965
"19",-0.1954
"20",-0.1793
"21",-0.1718
"22",-0.1702
"23",-0.1699
"24",-0.1696
"25",-0.1661
"26",-0.1639
"27",-0.1579
"28",-0.1574
"29",-0.1357
"30",-0.1317
"31",-0.1265
"32",-0.1221
"33",-0.1145
"34",-0.11
"35",-0.1071
"36",-0.103
"37",-0.1
"38",-0.0982
"39",-0.0916
"40",-0.0775
"41",-0.0712
"42",-0.07
"43",-0.0464
"44",-0.0424
"45",-0.0402
"46",-0.0397
"47",-0.0383
"48",-0.035
"49",-0.0312
"50",-0.0299
"51",-0.0289
"52",-0.0285
"53",-0.0233
"54",-0.0208
"55",-0.02
"56",-0.0072
"57",-0.007
"58",-0.0048
"59",-0.0044
"60",0
"61",0.0044
"62",0.005
"63",0.0062
"64",0.0107
"65",0.0226
"66",0.0233
"67",0.0341
"68",0.0347
"69",0.0462
"70",0.0468
"71",0.0473
"72",0.0475
"73",0.0591
"74",0.0636
"75",0.0645
"76",0.0739
"77",0.0887
"78",0.0966
"79",0.0971
"80",0.0977
"81",0.1207
"82",0.1295
"83",0.1613
"84",0.1715
"85",0.1752
"86",0.1879
"87",0.1942
"88",0.2113
"89",0.2214
"90",0.2248
"91",0.2336
"92",0.2628
"93",0.27
"94",0.2757
"95",0.2839
"96",0.3038
"97",0.3142
"98",0.3679
"99",0.3889
"100",0.4019
"101",0.453
"102",0.4693
"103",0.505
"104",0.5309
"105",0.5326
"106",0.6554
"107",0.6695
"108",0.7403
"109",0.8362
"110",0.8783
"111",1.0656
