"","distribution","data"
"1","normal",0.3219862807717
"2","normal",0.215410653555922
"3","normal",-0.030275700672259
"4","normal",-0.136982218115182
"5","normal",-0.0892565956850781
"6","normal",0.1202569750421
"7","normal",-0.0946269745024414
"8","normal",0.519280296645734
"9","normal",-0.220844085347776
"10","normal",0.28533446946841
"11","normal",0.00842618954688086
"12","normal",0.358055480894456
"13","normal",-0.161949845838897
"14","normal",-0.12869633530871
"15","normal",-0.322086370030468
"16","normal",0.216600439265876
"17","normal",-0.393501690423905
"18","normal",-0.00396825215404893
"19","normal",-0.0651683773213638
"20","normal",0.109492000417829
"21","normal",-0.0737477379469979
"22","normal",0.165316016594115
"23","normal",-0.13712362158572
"24","normal",-0.142999268155579
"25","normal",0.112663282485795
"26","normal",0.459018662663935
"27","normal",0.345072600072089
"28","normal",0.127661544176335
"29","normal",0.0454004524752537
"30","normal",-0.0374771329732666
"31","normal",-0.333824155373678
"32","normal",0.420199066231515
"33","normal",0.107501298414223
"34","normal",0.709858797832366
"35","normal",0.0459327371383685
"36","normal",-0.254862438916334
"37","normal",0.198294475180812
"38","normal",-0.106698877708403
"39","normal",-0.0168202384076875
"40","normal",-0.13789643427399
"41","normal",-0.142358765847339
"42","normal",-0.0896496728585908
"43","normal",0.0154509309195327
"44","normal",-0.189780307799473
"45","normal",-0.0987162746316866
"46","normal",-0.196249212519904
"47","normal",0.27414577055471
"48","normal",0.255447661726078
"49","normal",-0.0667339997867522
"50","normal",0.323208504917765
"51","normal",0.0528155789502523
"52","normal",0.0588918099897507
"53","normal",-0.0132462423510017
"54","normal",-0.0943699705464941
"55","normal",0.0913461555108043
"56","normal",0.663063805195694
"57","normal",0.442601375264981
"58","normal",0.378143871798701
"59","normal",0.0386923558576522
"60","normal",0.354052611852722
"61","normal",0.177442857613869
"62","normal",0.186635484630312
"63","normal",-0.300934123334757
"64","normal",-0.0280707071446348
"65","normal",0.469613616544363
"66","normal",0.455633328485475
"67","normal",0.143440084598751
"68","normal",-0.474929297727828
"69","normal",-0.057602443022265
"70","normal",-0.221552880166772
"71","normal",0.125399876187066
"72","normal",-0.124331750798421
"73","normal",-0.325484746179908
"74","normal",-0.619813657608102
"75","normal",-0.307718065104063
"76","normal",0.121539222482452
"77","normal",-0.0074789779934264
"78","normal",-0.130114001986169
"79","normal",0.580042351969578
"80","normal",0.230206591790428
"81","normal",-0.475824623594088
"82","normal",-0.190811622547514
"83","normal",0.560143599042978
"84","normal",0.265056277181442
"85","normal",-0.111109202156758
"86","normal",0.0758282714396201
"87","normal",-0.0881298661580709
"88","normal",0.0317379230028498
