"","x"
"1",0.1739
"2",0.1789
"3",-0.5668
"4",0.069
"5",0.0768
"6",-0.2303
"7",-0.3581
"8",0.1533
"9",-0.0974
"10",0.3825
"11",-0.2281
"12",0.1288
"13",-0.1932
"14",-0.0341
"15",0.402
"16",-0.3866
"17",0.3246
"18",0.2435
"19",-0.3968
"20",0.2363
"21",-0.3725
"22",0.2851
"23",0.2588
"24",-0.2484
"25",0.3658
"26",0.2468
"27",0.1458
"28",-0.2382
"29",0.2889
"30",-0.1673
"31",0.2317
"32",0.3026
"33",-0.3372
"34",0.0086
"35",-0.3207
"36",-0.4003
"37",0.0375
"38",-0.2727
"39",-0.4634
"40",0.0328
"41",0.2983
"42",0.3614
"43",-0.2636
"44",0.2106
"45",-0.5196
"46",0.2028
"47",0.3251
"48",-0.1403
"49",0.2847
"50",0.2567
"51",0.229
"52",0.1143
"53",-0.2912
"54",0.1095
"55",0.357
"56",0.3216
"57",-0.4152
"58",-0.2291
"59",0.317
"60",-0.21
"61",0.1336
"62",-0.3674
"63",0.384
"64",-0.3812
"65",0.1993
"66",0.2178
"67",0.079
"68",0.1847
"69",-0.4529
"70",-0.3011
"71",0.3501
"72",0.2689
"73",-0.4212
"74",0.3676
"75",0.3145
"76",0.2291
"77",0.2083
"78",0.178
"79",0.3267
"80",0.2955
"81",0.1509
"82",0.2686
"83",0.0075
"84",0.3673
"85",-0.3008
"86",-0.349
"87",-0.3226
"88",-0.1668
"89",-0.2841
"90",0.1747
"91",0.2939
"92",0.1418
"93",0.1112
"94",0.3493
"95",0.1053
"96",-0.0971
"97",0.1559
"98",0.346
"99",-0.0026
"100",0.2009
"101",0.0166
"102",0.2703
"103",0.1891
"104",0.0468
"105",-0.0264
"106",0.2283
"107",-0.2944
"108",0.4
"109",0.3429
"110",0.1318
"111",-0.0807
