"","x"
"1",-0.7248
"2",-0.6478
"3",-0.6021
"4",-0.5882
"5",-0.5141
"6",-0.5007
"7",-0.4932
"8",-0.4912
"9",-0.4674
"10",-0.45
"11",-0.3801
"12",-0.1921
"13",-0.1901
"14",-0.1893
"15",-0.1556
"16",-0.1487
"17",-0.146
"18",-0.1429
"19",-0.1209
"20",-0.0999
"21",-0.0945
"22",-0.0833
"23",-0.0739
"24",-0.0682
"25",-0.0659
"26",-0.051
"27",-0.0435
"28",-0.0376
"29",-0.0358
"30",-0.034
"31",-0.0281
"32",-0.0167
"33",-0.0102
"34",-0.0092
"35",-0.0078
"36",-0.004
"37",0.0022
"38",0.0075
"39",0.008
"40",0.01
"41",0.0128
"42",0.0213
"43",0.0217
"44",0.0239
"45",0.0247
"46",0.0284
"47",0.0302
"48",0.0359
"49",0.038
"50",0.0384
"51",0.0401
"52",0.0423
"53",0.0472
"54",0.0503
"55",0.0521
"56",0.0522
"57",0.0555
"58",0.0653
"59",0.0655
"60",0.0661
"61",0.0688
"62",0.0696
"63",0.0703
"64",0.073
"65",0.0751
"66",0.0756
"67",0.076
"68",0.0784
"69",0.0785
"70",0.0811
"71",0.0855
"72",0.0959
"73",0.0965
"74",0.0998
"75",0.1036
"76",0.1057
"77",0.1086
"78",0.1117
"79",0.1139
"80",0.1155
"81",0.1208
"82",0.1242
"83",0.1267
"84",0.1299
"85",0.13
"86",0.1326
"87",0.1417
"88",0.1435
"89",0.1473
"90",0.1618
"91",0.1662
"92",0.1709
"93",0.185
"94",0.1882
"95",0.1943
"96",0.1999
"97",0.2155
"98",0.2161
"99",0.3011
"100",0.3205
"101",0.4578
"102",0.4628
"103",0.4831
"104",0.5128
"105",0.5488
"106",0.5557
"107",0.5965
"108",0.6887
"109",0.7043
"110",0.7474
"111",0.8472
