"","x"
"1",-0.0916
"2",0.27
"3",1.0656
"4",-0.1579
"5",0.5309
"6",0.0966
"7",0.5326
"8",0.6554
"9",-0.1718
"10",-0.2257
"11",-0.2567
"12",-0.0712
"13",0.8362
"14",0.0462
"15",0.0475
"16",0.1879
"17",0.0347
"18",-0.1793
"19",0.2214
"20",-0.2272
"21",0.453
"22",0.005
"23",0.0591
"24",-0.0383
"25",-0.0982
"26",-0.3008
"27",0.8783
"28",-0.0208
"29",0.0739
"30",0.2757
"31",-0.1317
"32",0.0062
"33",-0.007
"34",0.2839
"35",0.0636
"36",0.0977
"37",-0.1
"38",-0.0775
"39",0.0468
"40",0.3038
"41",0.1613
"42",-0.035
"43",-0.07
"44",-0.0048
"45",-0.0285
"46",0.2248
"47",-0.1221
"48",-0.1265
"49",-0.02
"50",-0.1661
"51",-0.1702
"52",0
"53",0.0233
"54",0.0107
"55",-0.2453
"56",-0.3255
"57",-0.1574
"58",-0.1639
"59",-0.3565
"60",-0.0289
"61",0.6695
"62",0.4019
"63",-0.1071
"64",-0.1145
"65",0.0341
"66",0.1207
"67",0.4693
"68",-0.0312
"69",0.0473
"70",0.0044
"71",-0.3699
"72",0.3679
"73",-0.0402
"74",-0.2461
"75",0.3889
"76",-0.2052
"77",-0.1699
"78",-0.0464
"79",0.1295
"80",-0.0424
"81",0.2113
"82",0.505
"83",-0.0044
"84",-0.2773
"85",0.0971
"86",0.2628
"87",0.1942
"88",0.1752
"89",-0.2852
"90",-0.1965
"91",0.3142
"92",-0.103
"93",0.0226
"94",-0.2497
"95",0.7403
"96",0.0645
"97",-0.1357
"98",-0.2828
"99",0.1715
"100",-0.0299
"101",-0.2315
"102",-0.1696
"103",-0.0072
"104",0.2336
"105",-0.0233
"106",-0.1954
"107",-0.2649
"108",-0.11
"109",0.0887
"110",-0.2347
"111",-0.0397
