"","id","Condition","Covariate","Dependent Variable"
"1",1,"A",30,0.66
"2",2,"A",35,0.65
"3",3,"A",29,0.64
"4",4,"A",44,0.61
"5",5,"A",36,0.61
"6",6,"A",29,0.59
"7",7,"A",37,0.59
"8",8,"A",38,0.59
"9",9,"A",37,0.58
"10",10,"A",32,0.58
"11",11,"A",43,0.58
"12",12,"A",36,0.58
"13",13,"A",30,0.57
"14",14,"A",21,0.57
"15",15,"A",41,0.56
"16",16,"A",34,0.56
"17",17,"A",34,0.56
"18",18,"A",40,0.56
"19",19,"A",39,0.55
"20",20,"A",38,0.54
"21",21,"A",40,0.54
"22",22,"A",39,0.54
"23",23,"A",34,0.54
"24",24,"A",22,0.53
"25",25,"A",38,0.52
"26",26,"A",34,0.51
"27",27,"A",33,0.5
"28",28,"A",25,0.5
"29",29,"A",31,0.49
"30",30,"A",37,0.49
"31",31,"A",42,0.49
"32",32,"A",33,0.49
"33",33,"A",36,0.49
"34",34,"A",34,0.48
"35",35,"A",26,0.48
"36",36,"A",32,0.47
"37",37,"A",32,0.47
"38",38,"A",34,0.46
"39",39,"A",41,0.46
"40",40,"A",39,0.45
"41",41,"A",33,0.44
"42",42,"A",32,0.44
"43",43,"A",38,0.43
"44",44,"A",37,0.43
"45",45,"A",30,0.42
"46",46,"A",30,0.42
"47",47,"A",36,0.36
"48",48,"A",39,0.35
"49",49,"A",33,0.3
"50",50,"A",39,0.28
"51",1,"B",36,0.62
"52",2,"B",30,0.65
"53",3,"B",36,0.58
"54",4,"B",27,0.68
"55",5,"B",43,0.62
"56",6,"B",46,0.59
"57",7,"B",32,0.59
"58",8,"B",28,0.59
"59",9,"B",37,0.58
"60",10,"B",33,0.58
"61",11,"B",48,0.58
"62",12,"B",34,0.58
"63",13,"B",38,0.57
"64",14,"B",34,0.57
"65",15,"B",30,0.56
"66",16,"B",35,0.56
"67",17,"B",23,0.56
"68",18,"B",43,0.56
"69",19,"B",35,0.55
"70",20,"B",47,0.54
"71",21,"B",37,0.49
"72",22,"B",30,0.55
"73",23,"B",38,0.56
"74",24,"B",28,0.55
"75",25,"B",26,0.49
"76",26,"B",36,0.57
"77",27,"B",31,0.51
"78",28,"B",34,0.45
"79",29,"B",34,0.37
"80",30,"B",30,0.54
"81",31,"B",31,0.48
"82",32,"B",33,0.48
"83",33,"B",41,0.53
"84",34,"B",25,0.52
"85",35,"B",38,0.5
"86",36,"B",36,0.51
"87",37,"B",40,0.5
"88",38,"B",32,0.45
"89",39,"B",36,0.35
"90",40,"B",36,0.47
"91",41,"B",31,0.43
"92",42,"B",41,0.42
"93",43,"B",41,0.35
"94",44,"B",38,0.4
"95",45,"B",44,0.43
"96",46,"B",37,0.47
"97",47,"B",26,0.35
"98",48,"B",31,0.36
"99",49,"B",27,0.29
"100",50,"B",31,0.2
"101",1,"C",11,0.73
"102",2,"C",15,0.76
"103",3,"C",10,0.69
"104",4,"C",16,0.79
"105",5,"C",11,0.73
"106",6,"C",26,0.59
"107",7,"C",19,0.59
"108",8,"C",20,0.59
"109",9,"C",17,0.58
"110",10,"C",25,0.58
"111",11,"C",11,0.58
"112",12,"C",12,0.58
"113",13,"C",24,0.57
"114",14,"C",11,0.57
"115",15,"C",14,0.56
"116",16,"C",13,0.56
"117",17,"C",13,0.56
"118",18,"C",13,0.56
"119",19,"C",18,0.55
"120",20,"C",14,0.54
"121",21,"C",12,0.61
"122",22,"C",23,0.67
"123",23,"C",14,0.68
"124",24,"C",14,0.67
"125",25,"C",14,0.61
"126",26,"C",19,0.69
"127",27,"C",15,0.63
"128",28,"C",15,0.57
"129",29,"C",11,0.49
"130",30,"C",13,0.66
"131",31,"C",15,0.6
"132",32,"C",11,0.6
"133",33,"C",18,0.65
"134",34,"C",6,0.64
"135",35,"C",17,0.62
"136",36,"C",6,0.63
"137",37,"C",13,0.62
"138",38,"C",12,0.57
"139",39,"C",11,0.47
"140",40,"C",15,0.59
"141",41,"C",4,0.55
"142",42,"C",22,0.54
"143",43,"C",5,0.47
"144",44,"C",12,0.52
"145",45,"C",8,0.55
"146",46,"C",10,0.59
"147",47,"C",28,0.47
"148",48,"C",15,0.48
"149",49,"C",7,0.41
"150",50,"C",5,0.32
