"","factorM","factorG","dependentVariable"
"1","A","experimental",0.637354618925767
"2","A","experimental",0.718364332422208
"3","A","experimental",0.616437138758995
"4","A","experimental",0.859528080213779
"5","A","experimental",0.732950777181536
"6","A","experimental",0.617953161588198
"7","A","experimental",0.748742905242848
"8","A","experimental",0.773832470512922
"9","A","experimental",0.757578135165349
"10","A","experimental",0.669461161284364
"11","A","experimental",0.851178116845085
"12","A","experimental",0.738984323641143
"13","A","experimental",0.63787594194582
"14","A","experimental",0.47853001128225
"15","A","experimental",0.812493091814311
"16","A","experimental",0.695506639098477
"17","A","experimental",0.698380973690105
"18","A","experimental",0.79438362106853
"19","A","experimental",0.782122119509809
"20","A","experimental",0.759390132121751
"21","A","experimental",0.791897737160822
"22","A","experimental",0.778213630073107
"23","A","experimental",0.707456498336519
"24","A","experimental",0.501064830413663
"25","A","experimental",0.761982574789471
"26","A","experimental",0.6943871260471
"27","A","experimental",0.684420449329467
"28","A","experimental",0.552924761610073
"29","A","experimental",0.652184994489138
"30","A","experimental",0.74179415601997
"31","A","experimental",0.835867955152904
"32","A","experimental",0.6897212272657
"33","A","experimental",0.738767161155937
"34","A","experimental",0.69461949594171
"35","A","experimental",0.562294044317139
"36","A","experimental",0.658500543670032
"37","A","experimental",0.660571004628965
"38","A","experimental",0.694068660328881
"39","A","experimental",0.810002537198388
"40","A","experimental",0.776317574845754
"41","A","control",0.683547640374641
"42","A","control",0.674663831986349
"43","A","control",0.769696337540474
"44","A","control",0.755666319867366
"45","A","control",0.631124430545048
"46","A","control",0.629250484303788
"47","A","control",0.736458196213683
"48","A","control",0.776853292451542
"49","A","control",0.688765378784977
"50","A","control",0.788110772645421
"51","A","control",0.739810588036707
"52","A","control",0.638797360674923
"53","A","control",0.734111969142442
"54","A","control",0.587063690391921
"55","A","control",0.843302370170104
"56","A","control",0.898039989850586
"57","A","control",0.663277852353349
"58","A","control",0.595586537368347
"59","A","control",0.756971962744241
"60","A","control",0.686494539611918
"61","A","control",0.940161776050478
"62","A","control",0.696075999726683
"63","A","control",0.768973936245078
"64","A","control",0.702800215878067
