"","x"
"1",-0.5162
"2",-0.4329
"3",-0.4209
"4",-0.402
"5",-0.3972
"6",-0.3727
"7",-0.3353
"8",-0.3066
"9",-0.3066
"10",-0.3059
"11",-0.3028
"12",-0.3025
"13",-0.2974
"14",-0.294900000000009
"15",-0.2824
"16",-0.2757
"17",-0.274
"18",-0.2734
"19",-0.2629
"20",-0.2585
"21",-0.2525
"22",-0.2519
"23",-0.2483
"24",-0.2451
"25",-0.2434
"26",-0.239
"27",-0.2262
"28",-0.2236
"29",-0.2227
"30",-0.2213
"31",-0.2161
"32",-0.2078
"33",-0.1966
"34",-0.191
"35",-0.18
"36",-0.175
"37",-0.1719
"38",-0.1495
"39",-0.1301
"40",-0.1299
"41",-0.1257
"42",-0.1209
"43",-0.1067
"44",-0.0998
"45",-0.0769
"46",-0.0668
"47",-0.0527
"48",-0.0485
"49",-0.0398
"50",-0.0382
"51",-0.0322
"52",0.0134
"53",0.032
"54",0.036
"55",0.0557
"56",0.0818
"57",0.0834
"58",0.0919
"59",0.1051
"60",0.1252
"61",0.1599
"62",0.1795
"63",0.1867
"64",0.1875
"65",0.202
"66",0.207
"67",0.2277
"68",0.2281
"69",0.2294
"70",0.2323
"71",0.2486
"72",0.2551
"73",0.2638
"74",0.2647
"75",0.2668
"76",0.2687
"77",0.2689
"78",0.2741
"79",0.2818
"80",0.294
"81",0.2975
"82",0.2993
"83",0.3016
"84",0.3079
"85",0.3107
"86",0.3186
"87",0.3239
"88",0.3242
"89",0.3262
"90",0.3281
"91",0.3306
"92",0.331
"93",0.3372
"94",0.3393
"95",0.3451
"96",0.347
"97",0.3503
"98",0.354
"99",0.3564
"100",0.3581
"101",0.3635
"102",0.3668
"103",0.3789
"104",0.207100000000019
"105",0.3865
"106",0.3942
"107",0.5
"108",0.4121
"109",0.4127
"110",0.4262
"111",0.6084
