"","x"
"1",-0.7335
"2",-0.664
"3",-0.6429
"4",-0.6117
"5",-0.5718
"6",-0.524
"7",-0.5029
"8",-0.4932
"9",-0.4915
"10",-0.3782
"11",-0.3501
"12",-0.2204
"13",-0.2105
"14",-0.1775
"15",-0.1735
"16",-0.1305
"17",-0.1226
"18",-0.1103
"19",-0.1102
"20",-0.1019
"21",-0.0976
"22",-0.0709
"23",-0.0677
"24",-0.0671
"25",-0.0669
"26",-0.0585
"27",-0.0498
"28",-0.0447
"29",-0.0427
"30",-0.0394
"31",-0.0386
"32",-0.0149
"33",-0.0144
"34",-0.013
"35",-0.0126
"36",-0.0033
"37",-0.0022
"38",0.0047
"39",0.0102
"40",0.0141
"41",0.0239
"42",0.0247
"43",0.0286
"44",0.0293
"45",0.0338
"46",0.0359
"47",0.0381
"48",0.0413
"49",0.0425
"50",0.0474
"51",0.0525
"52",0.0552
"53",0.0558
"54",0.0561
"55",0.0567
"56",0.0573
"57",0.0598
"58",0.0632
"59",0.0636
"60",0.0642
"61",0.0728
"62",0.0776
"63",0.0807
"64",0.0868
"65",0.0892
"66",0.0922
"67",0.0938
"68",0.094
"69",0.0953
"70",0.0958
"71",0.096
"72",0.0994
"73",0.1019
"74",0.1045
"75",0.1055
"76",0.1057
"77",0.1091
"78",0.1093
"79",0.1095
"80",0.1114
"81",0.1144
"82",0.1173
"83",0.1174
"84",0.124
"85",0.1272
"86",0.1304
"87",0.1311
"88",0.1364
"89",0.1374
"90",0.1413
"91",0.1468
"92",0.1546
"93",0.1598
"94",0.194
"95",0.1951
"96",0.2226
"97",0.2375
"98",0.2378
"99",0.2514
"100",0.3006
"101",0.4284
"102",0.5351
"103",0.5622
"104",0.5656
"105",0.5685
"106",0.5833
"107",0.6303
"108",0.6395
"109",0.642
"110",0.6468
"111",0.7876
